sample_id,sample_date,sample_loc,experiment,durafet_pH,spec_pH,chamber_co2,temperature,salinity,notes,deep_notes
7-3-19 CH05,7/3/19,CH05,dgn_zoe_CHMBR_2019,null,null,null,null,null,Dungeness  Zoea Chamber Experiment 2019,8 bottles labeled for 2019 dungeness zoea 
7-3-19 CH01,7/3/19,CH01,dgn_zoe_CHMBR_2019,null,null,null,null,null,Dungeness  Zoea Chamber Experiment 2019,8 bottles labeled for 2019 dungeness zoea 
7-3-19 CH04,7/3/19,CH04,dgn_zoe_CHMBR_2019,null,null,null,null,null,Dungeness  Zoea Chamber Experiment 2019,8 bottles labeled for 2019 dungeness zoea 
8-7-19 CO1,8/7/19,CO1,salmon_chinook_chum_2019,null,null,null,null,null,Chinook Salmon 2019 Chum House,assumptions about which salmon project
8-7-19 CH1,8/7/19,CH1,salmon_coho_sShed_2019,null,null,null,null,null,Coho Salmon 2019 Salmon Shed,"three bottles sent for analysis, assumed CH1, CH2, CH6"
8-7-19 CH6,8/7/19,CH6,salmon_coho_sShed_2019,null,null,null,null,null,Coho Salmon 2019 Salmon Shed,"three bottles sent for analysis, assumed CH1, CH2, CH6"
8-7-19 CH2,8/7/19,CH2,salmon_coho_sShed_2019,null,null,null,null,null,Coho Salmon 2019 Salmon Shed,"three bottles sent for analysis, assumed CH1, CH2, CH6"
8-7-19 CO5,8/7/19,CO5,salmon_chinook_chum_2019,null,null,null,null,null,Chinook Salmon 2019 Chum House,assumptions about which salmon project
8-7-19 CO6,8/7/19,CO6,salmon_chinook_chum_2019,null,null,null,null,null,Chinook Salmon 2019 Chum House,assumptions about which salmon project
8-7-19 CO2,8/7/19,CO2,salmon_chinook_chum_2019,null,null,null,null,null,Chinook Salmon 2019 Chum House,assumptions about which salmon project
8-7-19 CO3,8/7/19,CO3,salmon_chinook_chum_2019,null,null,null,null,null,Chinook Salmon 2019 Chum House,assumptions about which salmon project
8-7-19 CO4,8/7/19,CO4,salmon_chinook_chum_2019,null,null,null,null,null,Chinook Salmon 2019 Chum House,assumptions about which salmon project
10-15-19 M1,10/15/19,M1,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,eight bottles sent for the 15OCT19 for 2019 summer krill
10-15-19 M5,10/15/19,M5,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,eight bottles sent for the 15OCT19 for 2019 summer krill
10-15-19 M6,10/15/19,M6,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,eight bottles sent for the 15OCT19 for 2019 summer krill
10-15-19 M10,10/15/19,M10,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,eight bottles sent for the 15OCT19 for 2019 summer krill
10-15-19 M3,10/15/19,M3,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,eight bottles sent for the 15OCT19 for 2019 summer krill
10-15-19 M4,10/15/19,M4,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,eight bottles sent for the 15OCT19 for 2019 summer krill
10-15-19 M8,10/15/19,M8,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,eight bottles sent for the 15OCT19 for 2019 summer krill
10-15-19 M2,10/15/19,M2,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,eight bottles sent for the 15OCT19 for 2019 summer krill
10-31-19 M6,10/31/19,M6,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,"six bottles sent, six bottles noted for 2019 summer krill"
10-31-19 M2,10/31/19,M2,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,"six bottles sent, six bottles noted for 2019 summer krill"
10-31-19 M4,10/31/19,M4,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,"six bottles sent, six bottles noted for 2019 summer krill"
10-31-19 M8,10/31/19,M8,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,"six bottles sent, six bottles noted for 2019 summer krill"
10-31-19 M1,10/31/19,M1,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,"six bottles sent, six bottles noted for 2019 summer krill"
10-31-19 M10,10/31/19,M10,krl_cross_expo_2019,null,null,null,null,null,krill cross exposure experiment in MOATs,"six bottles sent, six bottles noted for 2019 summer krill"
